Ville;Sum_Nbr_demandeur_emploi;Avg_Taux_satisfaction;Avg_Nombre_retours_emploi;Avg_Taux_notification
Abbeville ;2945;87;4190;94
Agde ;5943;86;6720;94
Agen ;4209;85;6922;94
Aiguillon;2114;94;3244;94
Aix En Provence  ;9826;84;6974;94
Aix Les Bains;2793;85;5011;90
Ajaccio  ;4166;90;5683;95
Albertville;3016;94;6991;96
Albi  ;4279;83;5774;94
Alencon;2440;81;3699;95
Ales ;9978;88;4835;93
Amberieu En Bugey;2539;84;4136;93
Amiens  ;12634;82;6269;93
Ancenis ;1619;84;3833;94
Andernos Les Bains;1965;89;3508;94
Andrezieux Boutheon;2316;89;4342;94
Angers  ;16320;85;6974;93
Angouleme ;4165;80;6651;94
Annecy;3762;85;7188;93
Annemasse;11297;88;12998;92
Annonay;2789;81;4148;93
Antibes;6955;89;9473;93
Antony ;5587;83;6797;96
Anzin;5563;86;5444;94
Apt;1516;94;1994;94
Arc Les Gray;1426;86;2388;92
Argeles Sur Mer;3294;85;3821;94
Argentan;1511;82;2252;95
Argenteuil;7094;84;7354;94
Argenton Sur Creuse;2426;82;2955;93
Arles ;6234;86;8212;94
Armentieres;2964;73;3904;93
Arpajon;3713;85;5340;94
Arras;5972;82;9050;94
Asnieres Sur Seine;4299;85;4766;94
Aubagne;4459;89;5811;94
Aubenas;6247;87;8191;91
Aubervilliers;6325;81;6696;95
Aubigny Sur Nere;1171;86;1605;94
Aubusson;1265;80;1475;95
Auch  ;2803;85;4378;92
Audincourt Cedex;2393;83;3363;91
Aulnay Sous Bois;5464;82;5576;94
Aulnoye Aymeries;1441;93;1527;95
Auray ;3639;92;6775;94
Aurillac;2542;88;4476;92
Aussillon;2128;87;2753;95
Autun Cedex;1482;81;1937;94
Auxerre;4349;82;6932;94
Avallon;1488;77;1807;96
Avesnes Sur Helpe;3556;79;2888;94
Avignon;13412;88;7943;94
Avon;2044;90;2513;92
Avranches;2449;82;3843;92
Bagneux;3434;83;4309;94
Bagnols Sur Ceze;4203;86;5276;94
Baie Mahault;2475;81;859;94
Bailleul;1824;90;2610;94
Bandraboua;3920;65;2245;86
Bapaume ;895;75;1410;95
Bar Le Duc;2115;87;2757;92
Bar Sur Aube;1041;83;1319;92
Barentin;1514;89;2561;95
Basse Terre;3740;74;1947;96
Bastia ;4720;91;6197;94
Bayeux ;2321;72;3896;93
Bayonne ;3371;85;6400;94
Beaucaire ;3483;86;4061;93
Beaufort En Anou;1276;93;2127;96
Beaulieu Les Loches;1621;79;2562;93
Beaune Cedex;2514;89;4503;94
Beaupreau ;2797;87;6269;94
Beauvais ;8899;78;5864;94
Begles;2900;85;4729;94
Belfort;2623;78;3424;92
Belfort Cedex;4067;86;4856;92
Bellac;1143;84;1740;94
Belleville;1333;91;2247;93
Belley;1470;88;2699;94
Berck;2433;86;3600;94
Bergerac;4759;87;6176;94
Bernay ;2545;84;3783;95
Besancon Cedex;9033;86;4487;93
Bethune;3825;79;4840;94
Bezannes;3552;84;4478;94
Beziers ;15716;88;8860;94
Bezons;1961;79;2236;95
Biarritz;2814;86;5172;94
Blagnac ;3765;84;6159;95
Blain;1436;84;3103;93
Blaye;3132;78;4543;93
Blois ;6540;83;5709;93
Bobigny;3794;86;3704;95
Bollene;2194;85;2909;94
Bondy;5356;80;5107;94
Bordeaux;2905;86;4632;94
Bordeaux ;12029;86;6281;94
Boucau;3238;91;6165;92
Bouillante;2498;79;1233;95
Boulogne Billancourt;4996;81;5840;92
Boulogne Sur Mer;3909;84;4542;94
Bourg En Bresse;6016;87;10430;92
Bourges ;6308;86;4778;94
Bourgoin Jallieu;2500;80;4133;94
