CODGEO;POP;SUPERF;NAIS1420;DECE1420;MEN;LOG;RP;RSECOCC;LOGVAC;RP_PROP;EMPLT;EMPLT_SAL;POP1564;CHOM1564;ACT1564;Ville
1053;41681;23.86;3014;2660;20640;23701;20640;600;2460;7603;32539;30006;25394;2974;17419;Bourg-en-Bresse
1283;22271;36.18;1785;1057;9564;11282;9564;235;1483;3466;10501;9430;13326;1562;9587;Oyonnax
2408;24091;42.0;2017;1536;11795;13522;11795;209;1517;3710;15765;14667;15102;2548;9945;Laon
2691;53100;22.56;4054;3970;25873;30385;25873;433;4079;10351;26829;24487;32049;5078;21755;Saint-Quentin
2722;28888;12.32;2140;1768;13807;15217;13807;206;1202;4631;13876;12513;16834;2989;11587;Soissons
3185;33822;20.67;2133;2963;17767;24078;17767;722;5588;8518;18218;16547;19702;2728;14119;Montluçon
3310;25372;5.85;1478;2487;15534;22182;15534;1818;4828;6629;12121;10278;13289;1904;8829;Vichy
4112;23018;56.73;1663;1529;11071;13043;11071;427;1544;5178;13399;11619;13367;1578;9761;Manosque
5061;40111;110.43;2316;2265;20082;22721;20082;820;1819;10424;21680;18757;23987;2159;17853;Gap
6004;74709;26.48;5439;5208;37938;64150;37938;22906;3305;20687;31516;25891;43844;4369;34009;Antibes
6027;52100;17.95;3240;3445;25766;32517;25766;5024;1726;14592;15139;11794;30113;2755;23624;Cagnes-sur-Mer
6029;72435;19.62;4839;6383;37033;72258;37033;33692;1532;17134;38814;31906;40599;4920;29687;Cannes
6030;42125;7.71;2961;3140;21225;26543;21225;3950;1367;12225;8801;6653;24466;2501;18467;Le Cannet
6069;48708;44.44;3844;2866;20820;26067;20820;2889;2357;11544;19393;16233;30034;3109;22599;Grasse
6079;21772;31.37;1253;1546;11204;21724;11204;9402;1116;6563;7840;6289;11993;1270;9558;Mandelieu-la-Napoule
6083;30679;14.05;562;1670;14825;29277;14825;12430;2021;8359;9009;7308;17996;1774;13867;Menton
6085;20180;25.64;1118;1161;8791;11488;8791;2145;552;5482;10311;8574;12433;1021;9865;Mougins
6088;343477;71.92;27827;22406;168934;233824;168934;32106;32783;80124;148759;124143;207997;21397;147591;Nice
6123;30141;10.11;2223;1830;14617;18869;14617;2256;1995;7955;12763;10748;18212;1568;14611;Saint-Laurent-du-Var
6155;27970;13.04;2116;2057;13170;20371;13170;5905;1294;7103;8289;6673;15797;1814;11663;Vallauris
8105;46388;31.44;3264;3262;22529;26364;22529;341;3493;7826;27314;25122;28397;4473;19338;Charleville-Mézières
10387;62597;13.2;4669;3497;33194;38422;33194;1663;3564;9609;33072;29624;40077;6248;26932;Troyes
11069;46673;65.08;3257;3240;23294;27397;23294;1345;2757;10998;31456;27836;27727;3972;19515;Carcassonne
11262;56123;172.96;3349;3825;28914;38377;28914;6266;3195;12307;29020;24495;32948;4694;22920;Narbonne
12145;21482;168.23;1122;1517;10541;13103;10541;1065;1496;6147;9580;8019;12429;1148;9211;Millau
12202;24397;11.18;1360;1514;14047;16378;14047;654;1677;5923;21248;19096;15893;1176;11068;Rodez
13001;147122;186.08;9176;6847;73933;87049;73933;5330;7785;28682;98392;84859;99323;7993;68933;Aix-en-Provence
13002;21546;50.3;1134;1130;8814;9874;8814;406;653;6571;3514;2607;12933;886;9884;Allauch
13004;50968;758.93;3775;3368;23602;28408;23602;1399;3406;12030;19347;15861;30433;3068;20480;Arles
13005;47190;54.9;3061;3003;20412;22431;20412;324;1694;9850;27086;23837;28566;2889;20827;Aubagne
13028;36441;31.46;2263;2583;18257;23748;18257;4574;917;8926;13770;11361;21361;2029;15619;La Ciotat
13041;21501;27.02;1722;957;9557;10206;9557;89;559;4732;8005;6775;13652;1161;10022;Gardanne
13047;44438;113.73;2963;1800;19775;20954;19775;379;800;10203;16091;14509;27990;2467;21014;Istres
13054;32515;23.16;2799;1813;14014;15395;14014;258;1123;8301;23878;22205;19860;2020;14610;Marignane
13055;870321;240.62;76424;44962;405640;458032;405640;14916;37475;175318;352741;305239;544816;58115;365704;Marseille
13056;48506;71.44;3509;2540;22572;25850;22572;1788;1490;10545;20298;18270;29231;3111;21350;Martigues
13063;26433;25.74;2224;1311;11052;11828;11052;81;694;4974;8260;7365;15779;1626;11174;Miramas
13071;21897;33.66;1285;1120;9131;9855;9131;118;605;6592;6837;5743;13120;827;9875;Les Pennes-Mirabeau
13103;45009;70.3;3649;2415;20088;22750;20088;232;2429;9732;20615;17963;27999;2855;20988;Salon-de-Provence
13117;34418;36.58;3021;1473;13727;14980;13727;187;1065;7861;24366;22364;21300;2241;15462;Vitrolles
14118;107250;25.7;6736;5596;60463;68976;60463;2469;6043;17904;75732;67964;74203;7779;47523;Caen
14327;22150;10.64;1692;907;11028;11927;11028;155;743;3120;12448;11606;14498;1990;9930;Hérouville-Saint-Clair
15014;25703;28.76;1264;2444;14126;17335;14126;725;2483;6733;21304;19373;15695;1463;11218;Aurillac
16015;41407;21.85;3047;2396;22894;26359;22894;641;2823;8205;29211;26243;26883;4098;19442;Angoulême
17299;23410;21.95;1300;1999;12629;15700;12629;1682;1388;5688;17729;15957;13856;2055;10086;Rochefort
17300;77210;28.43;4109;4344;43499;54048;43499;6942;3606;16088;48315;41421;48979;5849;32889;La Rochelle
17415;25412;45.55;1290;2148;13867;15800;13867;365;1568;6826;20138;17949;14809;1791;10741;Saintes
18033;64362;68.74;4389;4592;32622;38724;32622;1026;5075;15436;38842;35679;39625;4432;28104;Bourges
18279;25045;74.5;1770;2367;12285;15120;12285;279;2555;7162;10320;9284;13792;2179;9770;Vierzon
19031;45910;48.59;2798;3339;24099;28670;24099;1136;3434;12165;29004;25743;26729;2656;19241;Brive-la-Gaillarde
21054;20122;31.3;1226;1492;10270;12191;10270;655;1265;4808;14607;12727;12207;1095;9412;Beaune
21231;159106;40.41;10090;7264;87112;97655;87112;3326;7216;34483;95963;86390;109232;10655;75125;Dijon
22113;20451;43.91;935;1304;10255;11773;10255;696;821;5495;15393;13895;12675;1379;8699;Lannion
22278;44166;21.88;2968;3497;22914;27270;22914;1335;3020;11133;27042;24694;27193;3188;19153;Saint-Brieuc
24037;26360;56.1;1426;2352;14099;16918;14099;790;2028;7240;15008;12787;14180;1881;10076;Bergerac
24322;29255;9.82;1668;2271;16946;20208;16946;706;2555;5922;21959;19438;18618;2352;13391;Périgueux
25056;118258;65.05;8696;5481;62743;71717;62743;1774;7199;22004;71383;64886;79398;8445;52723;Besançon
25388;25726;15.01;2009;1582;11669;13748;11669;307;1771;4523;16540;15362;15134;2265;10310;Montbéliard
26198;39790;46.81;2832;2098;19011;21429;19011;509;1908;9039;22716;19775;23801;2978;17223;Montélimar
26281;32818;33.08;2321;2243;16003;18457;16003;280;2173;7931;17437;15412;19244;2405;14110;Romans-sur-Isère
26362;64431;36.69;5284;3657;32281;38220;32281;1332;4606;14039;47385;42692;40043;4755;28835;Valence
27229;46869;26.46;4384;2738;22434;26424;22434;352;3637;7124;35527;33071;29773;4216;20783;Évreux
27681;24056;34.92;2177;1416;10705;12372;10705;195;1470;4712;9876;8758;14605;1700;10451;Vernon
28085;38443;16.85;2841;2755;19486;22948;19486;828;2633;7812;29796;27169;23734;2434;17948;Chartres
28134;30744;24.27;3279;1608;12109;13985;12109;195;1680;5318;14577;13385;18368;2875;12672;Dreux
29019;139456;49.51;9610;7587;75656;84402;75656;3052;5692;32335;81467;74794;95348;10146;64825;Brest
29039;20209;41.08;795;1745;10819;14094;10819;2113;1161;6591;8677;7461;11582;1203;8241;Concarneau
29232;63473;84.45;3582;3961;33898;38544;33898;1107;3538;18668;44737;40341;40786;4072;29721;Quimper
2A004;72647;82.03;3123;3651;30928;35338;30928;3256;1153;14194;38156;33501;43086;2976;32591;Ajaccio
2B033;48296;19.38;2178;2313;20697;21298;20697;276;324;8331;24514;20716;29962;2309;20464;Bastia
30007;42867;23.16;2534;3017;22316;25256;22316;381;2558;8534;22408;19167;25332;4181;16163;Alès
30189;147496;161.85;11781;8593;70635;82514;70635;4183;7694;27629;79510;69606;90663;12036;59020;Nîmes
31069;26101;16.88;1865;953;12893;14011;12893;524;593;6145;37857;36116;17319;1563;13900;Blagnac
31149;39866;20.83;3021;1440;18213;18817;18213;326;278;9065;31410;29429;25423;2292;19765;Colomiers
31157;20100;13.01;1466;575;8731;9322;8731;119;471;4575;5231;4403;12556;1227;9751;Cugnaux
31395;24762;57.84;1660;1317;11082;12309;11082;167;1058;5539;12972;11311;15503;1644;11257;Muret
31555;498003;118.3;40456;16654;270267;306782;270267;11705;24809;86730;337044;299131;360644;39158;256739;Toulouse
31557;28763;18.17;1743;802;12740;13737;12740;359;637;7631;6431;5310;18445;1359;14427;Tournefeuille
32013;22518;72.48;1219;1745;11884;13721;11884;476;1360;5211;17161;15364;13307;1385;9461;Auch
33039;30543;9.96;2274;1458;14407;15673;14407;315;950;6080;12599;11079;20272;2128;15495;Bègles
33063;259809;49.36;18653;10842;142874;163660;142874;8447;12338;45909;199554;170775;185951;17848;133474;Bordeaux
33069;24006;5.28;1504;1380;11815;12969;11815;289;864;6615;5821;4503;14408;1119;11303;Le Bouscat
33119;26047;5.52;2255;1171;12424;13645;12424;161;1059;4134;8377;7070;16877;1958;11888;Cenon
33162;24202;12.01;1877;1000;11056;11665;11056;86;522;5374;8592;7384;15460;1532;12430;Eysines
33192;25871;15.77;1363;1347;12232;13027;12232;252;541;6171;10505;9253;16312;1281;11272;Gradignan
33199;22036;53.99;929;1299;10506;13232;10506;1989;735;6990;4948;3622;12776;1217;9494;Gujan-Mestras
33243;24432;20.63;1683;1524;12341;14044;12341;334;1368;5237;17905;15792;14709;1908;10891;Libourne
33249;22913;7.36;2309;1018;10198;10959;10198;203;556;2985;8712;7642;14486;2070;10469;Lormont
33281;74009;48.17;4739;3113;37132;40395;37132;1805;1456;17749;58554;54096;49196;4308;38507;Mérignac
33318;65866;38.82;3734;2763;31608;33422;31608;554;1258;14900;33737;30603;44125;3823;30496;Pessac
33449;32357;85.28;1702;1233;13859;14311;13859;108;343;8782;10910;9601;20008;1429;15680;Saint-Médard-en-Jalles
33522;44359;8.35;2823;1637;25052;27392;25052;942;1397;8134;14638;12778;32685;2885;21036;Talence
33529;26269;180.2;1195;2001;13401;19009;13401;5030;577;7863;12791;10690;15101;1492;11537;La Teste-de-Buch
33550;38444;21.26;2593;1488;17943;18977;17943;243;789;9098;10472;8903;25668;2251;20256;Villenave-d'Ornon
34003;29201;50.81;1551;2218;15105;49827;15105;33610;1111;8120;9660;7473;15747;2845;10773;Agde
34032;78683;95.48;6639;5506;37108;46844;37108;2151;7584;15569;40075;34327;45592;6356;28306;Béziers
34057;23469;11.18;1446;878;11536;12641;11536;307;797;5495;9989;8508;14967;1299;11304;Castelnau-le-Lez
34108;23485;31.72;1401;1353;10650;14157;10650;3000;506;6365;6138;5077;14048;1568;10423;Frontignan
34145;26356;23.9;2028;1485;11432;12403;11432;170;800;5987;9019;7500;15881;2107;11253;Lunel
34172;299096;56.88;22893;10496;156459;177110;156459;7550;13101;48450;168989;145397;208168;27142;136819;Montpellier
34301;44576;24.21;2695;3339;23489;32912;23489;7053;2369;10802;16999;14076;24537;3263;16212;Sète
35115;20505;10.46;1145;1491;10772;12034;10772;218;1043;4645;11880;10918;12124;1419;8817;Fougères
35238;222485;50.39;15851;8757;117698;131904;117698;5541;8664;41100;148572;134615;157956;15910;105532;Rennes
35288;46995;36.58;2227;4043;25139;36877;25139;9873;1864;12983;28258;24419;26040;2296;18590;Saint-Malo
36044;43331;25.54;2921;3011;21947;26388;21947;657;3783;10241;23797;21789;25618;3211;18645;Châteauroux
37122;38750;32.41;2815;1996;17870;19209;17870;172;1166;8879;13080;11824;23193;2794;17037;Joué-lès-Tours
37261;137850;34.67;9732;6821;76487;88662;76487;3186;8988;25012;86209;77574;92553;10954;65088;Tours
38053;29389;24.37;2494;1469;13391;14799;13391;227;1180;5170;17978;15941;18114;2210;13882;Bourgoin-Jallieu
38151;36970;7.86;3338;1711;16041;17352;16041;216;1094;7399;16787;15503;21969;2654;15601;Échirolles
38169;23049;6.74;1887;1021;10870;11840;10870;114;855;5910;6599;5708;14586;1530;11044;Fontaine
